uri	wikilink	description
norssi_3900	https://fi.wikipedia.org/wiki?curid=241369	"""Olli Hämäläinen (19. toukokuuta 1924 Helsinki – 11. kesäkuuta 1984 Tampere) oli suomalainen jazzmuusikko, kontrabasisti, orkesterinjohtaja, musiikkikriitikko..."""
norssi_7913	https://fi.wikipedia.org/wiki?curid=232271	"""Juha Veijonen (s. 29. elokuuta 1959 Helsinki) on suomalainen näyttelijä. Veijonen on työskennellyt koko uransa freelancerina ja hänet tunnetaan..."""
norssi_8136	https://fi.wikipedia.org/wiki?curid=425852	"""Panu Pertti Juhani Hämäri (s. 10. toukokuuta 1962 Helsinki) on entinen SM-tason amerikkalaisen jalkapallon pelaaja, joka on sittemmin toiminut..."""
norssi_5861	https://fi.wikipedia.org/wiki?curid=1305991	"""Urpo Häyrinen (1937 – 1992) oli suomalainen virkamies, luonnonsuojelija, luontokuvaaja ja luontokirjailija.
Urpo Häyrisen vanhemmat olivat..."""
norssi_138	https://fi.wikipedia.org/wiki?curid=359921	"""Gustaf Ignatius (8. kesäkuuta 1873 Helsinki – 21. joulukuuta 1949 Helsinki) oli sisäasiainministeri Kallion II hallituksessa 1925–1926, edustaen..."""
norssi_2520	https://fi.wikipedia.org/wiki?curid=344336	"""Veikko Artturi Ihamuotila (17. helmikuuta 1911, Helsinki − 2. helmikuuta 1979) oli suomalainen agronomi, MTK:n puheenjohtaja sekä maa- ja metsätalousministeri..."""
norssi_7305	https://fi.wikipedia.org/wiki?curid=539462	"""Olli Tapio Ikkala (s. 15. elokuuta 1953, Helsinki) on suomalainen fyysikko. Hän on ollut Teknillisen korkeakoulun professori vuodesta 1999 ja..."""
norssi_1711	https://fi.wikipedia.org/wiki?curid=96799	"""Väinö Vilhelm Johannes Ikonen (5. lokakuuta 1895 Tuusniemi – 10. helmikuuta 1954 Helsinki) oli suomalainen kilpapainija ja olympiamitalisti...."""
norssi_3490	https://fi.wikipedia.org/wiki?curid=543463	"""Hugo Lorentz Ilander myöh. Ilanmaa (27. lokakuuta 1896 Helsinki – 4. huhtikuuta 1956) oli suomalainen jääkärimajuri. Hänen vanhempansa..."""
norssi_4826	https://fi.wikipedia.org/wiki?curid=93698	"""Martti ”Huuhaa” Mikko Sakari Innanen (20. maaliskuuta 1931 Helsinki – 3. joulukuuta 2014 Helsinki) oli suomalainen humoristinen iskelmälaulaja..."""
norssi_3330	https://fi.wikipedia.org/wiki?curid=131879	"""Jalo Veikko Itkonen, pseudonyymi Aulikki Ura, (16. huhtikuuta 1919 Kauniainen – 29. maaliskuuta 1990 San Diego, Kalifornia, Yhdysvallat..."""
norssi_6198	https://fi.wikipedia.org/wiki?curid=272165	"""Esa Matti Itkonen (s. 3. tammikuuta 1944) on Turun yliopiston yleisen kielitieteen professori emeritus. Itkonen on julkaissut lukuisia monografioita..."""
